"samp","genotypeLabels...3."
"1147_Derici","Plate_14_Samp_75"
"1263_Destek","Plate_14_Samp_76"
"2562_S2Drd","Plate_14_Samp_77"
"2_Bari1","Plate_14_Samp_78"
"1271_Destek","Plate_14_Samp_79"
"1754_Karabace","Plate_14_Samp_8"
"1795_Karabace","Plate_14_Samp_80"
"525_Cermik","Plate_14_Samp_81"
"808_Cudi1","Plate_14_Samp_82"
"2633_S2Drd","Plate_14_Samp_83"
"2929_Sirnak","Plate_14_Samp_84"
"444_Besev","Plate_14_Samp_85"
"944_Cudi2","Plate_14_Samp_86"
"1919_Karabace","Plate_14_Samp_87"
"1971_Karabace","Plate_14_Samp_88"
"2116_Kayatepe","Plate_14_Samp_89"
"2576_S2Drd","Plate_14_Samp_9"
"2367_Oyali","Plate_14_Samp_90"
"1339_Destek","Plate_14_Samp_91"
"299_Bari3","Plate_14_Samp_92"
"2909_Sirna","Plate_14_Samp_93"
"1622_Kalkan","Plate_14_Samp_94"
"3036_Sirnak","Plate_14_Samp_95"
"557_Cermik","Plate_15_Samp_1"
"891_Cudi2","Plate_15_Samp_10"
"1635_Kalkan","Plate_15_Samp_11"
"831_Cudi1","Plate_15_Samp_12"
"867_Cudi2","Plate_15_Samp_13"
"3115_Sirnak","Plate_15_Samp_14"
"448_Besev","Plate_15_Samp_15"
"759_Cudi1","Plate_15_Samp_16"
"2762_Sarikaya","Plate_15_Samp_17"
"405_Bari3","Plate_15_Samp_18"
"2968_Sirnak","Plate_15_Samp_19"
"921_Cudi2","Plate_15_Samp_2"
"1520_Gunas","Plate_15_Samp_20"
"3240_Sirnak","Plate_15_Samp_21"
"119_Bari2","Plate_15_Samp_22"
"137_Bari2","Plate_15_Samp_23"
"187_Bari3","Plate_15_Samp_24"
"972_Cudi2","Plate_15_Samp_25"
"2774_Sarikaya","Plate_15_Samp_26"
"3063_Sirnak","Plate_15_Samp_27"
"1311_Destek","Plate_15_Samp_28"
"76_Bari1","Plate_15_Samp_29"
"2196_Kesentas","Plate_15_Samp_3"
"856_Cudi2","Plate_15_Samp_30"
"1044_Cudi2","Plate_15_Samp_31"
"1193_Derici","Plate_15_Samp_32"
"942_Cudi2","Plate_15_Samp_33"
"1597_Kalkan","Plate_15_Samp_34"
"652_Cudi1","Plate_15_Samp_35"
"29_Bari1","Plate_15_Samp_36"
"726_Cudi1","Plate_15_Samp_37"
"2188_Kesantas","Plate_15_Samp_38"
"1240_Destek","Plate_15_Samp_39"
"3287_Sirnak","Plate_15_Samp_4"
"2831_Savur-Pina","Plate_15_Samp_40"
"2482_Oyali","Plate_15_Samp_41"
"104_Bari2","Plate_15_Samp_42"
"2283_Ortan","Plate_15_Samp_43"
"908_Cudi2","Plate_15_Samp_44"
"957_Cudi2","Plate_15_Samp_45"
"220_Bari3","Plate_15_Samp_46"
"1132_Derici","Plate_15_Samp_47"
"966_Cudi2","Plate_15_Samp_48"
"2433_Oyali","Plate_15_Samp_49"
"2710_Sarika","Plate_15_Samp_5"
"1829_Karabace","Plate_15_Samp_50"
"512_Besev","Plate_15_Samp_51"
"1457_Egil","Plate_15_Samp_52"
"1095_Cudi2","Plate_15_Samp_53"
"627_Cudi1","Plate_15_Samp_54"
"1676_Kalkan","Plate_15_Samp_55"
"2434_Oyali","Plate_15_Samp_56"
"1170_Derici","Plate_15_Samp_57"
"1477_Egil","Plate_15_Samp_58"
"1081_Cudi2","Plate_15_Samp_59"
"201_Bari3","Plate_15_Samp_6"
"400_Bari3","Plate_15_Samp_60"
"1773_Karabace","Plate_15_Samp_61"
"2251_Kesentas","Plate_15_Samp_62"
"2679_S2Drd","Plate_15_Samp_63"
"2478_Oyali","Plate_15_Samp_64"
"1423_Egil","Plate_15_Samp_65"
"1826_Karabace","Plate_15_Samp_66"
"3248_Sirnak","Plate_15_Samp_67"
"1285_Destek","Plate_15_Samp_68"
"492_Besev","Plate_15_Samp_69"
"2279_Kesentas","Plate_15_Samp_7"
"2529_S2Drd","Plate_15_Samp_70"
"608_Cudi1","Plate_15_Samp_71"
"265_Bari3","Plate_15_Samp_72"
"2662_S2Drd","Plate_15_Samp_73"
"959_Cudi2","Plate_15_Samp_74"
"2812_Savur","Plate_15_Samp_75"
"2431_Oyali","Plate_15_Samp_76"
"2950_Sirnak","Plate_15_Samp_77"
"3043_Sirnak","Plate_15_Samp_78"
"314_Bari3","Plate_15_Samp_79"
"2692_S2Drd","Plate_15_Samp_8"
"2552_S2Drd","Plate_15_Samp_80"
"176_Bari3","Plate_15_Samp_81"
"981_Cudi2","Plate_15_Samp_82"
"641_Cudi1","Plate_15_Samp_83"
"2866_Sirna","Plate_15_Samp_84"
"769_Cudi1","Plate_15_Samp_85"
"479_Besev","Plate_15_Samp_86"
"1746_Karabace","Plate_15_Samp_87"
"474_Besev","Plate_15_Samp_88"
"992_Cudi2","Plate_15_Samp_89"
"2476_Oyali","Plate_15_Samp_9"
"837_Cudi1","Plate_15_Samp_90"
"423_Bari3","Plate_15_Samp_91"
"1082_Cudi2","Plate_15_Samp_92"
"958_Cudi2","Plate_15_Samp_93"
"2481_Oyali","Plate_15_Samp_94"
"1861_Karabace","Plate_15_Samp_95"
"1083_Cudi2","Plate_16_Samp_1"
"1768_Karabace","Plate_16_Samp_10"
"3074_Sirnak","Plate_16_Samp_11"
"976_Cudi2","Plate_16_Samp_12"
"2500_S2Drd","Plate_16_Samp_13"
"1753_Karabace","Plate_16_Samp_14"
"1775_Karabace","Plate_16_Samp_15"
"2578_S2Drd","Plate_16_Samp_16"
"1301_Destek","Plate_16_Samp_17"
"1924_Karabace","Plate_16_Samp_18"
"2512_S2Drd","Plate_16_Samp_19"
"3107_Sirnak","Plate_16_Samp_2"
"911_Cudi2","Plate_16_Samp_20"
"2477_Oyali","Plate_16_Samp_21"
"2499_S2Drd","Plate_16_Samp_22"
"34_Bari1","Plate_16_Samp_23"
"1303_Destek","Plate_16_Samp_24"
"1041_Cudi2","Plate_16_Samp_25"
"1810_Karabace","Plate_16_Samp_26"
"2511_S2Drd","Plate_16_Samp_27"
"2921_Sirna","Plate_16_Samp_28"
"2625_S2Drd","Plate_16_Samp_29"
"2368_Oyali","Plate_16_Samp_3"
"2168_Kesantas","Plate_16_Samp_30"
"50_Bari1","Plate_16_Samp_31"
"940_Cudi2","Plate_16_Samp_32"
"3127_Sirnak","Plate_16_Samp_33"
"1080_Cudi2","Plate_16_Samp_34"
"739_Cudi1","Plate_16_Samp_35"
"2923_Sirna","Plate_16_Samp_36"
"1667_Kalkan","Plate_16_Samp_37"
"1695_Karab","Plate_16_Samp_38"
"8_Bari1","Plate_16_Samp_39"
"3020_Sirnak","Plate_16_Samp_4"
"2839_Savur-Pina","Plate_16_Samp_40"
"501_Besev","Plate_16_Samp_41"
"3174_Sirnak","Plate_16_Samp_42"
"2465_Oyali","Plate_16_Samp_43"
"2897_Sirna","Plate_16_Samp_44"
"2448_Oyali","Plate_16_Samp_45"
"3144_Sirnak","Plate_16_Samp_46"
"2673_S2Drd","Plate_16_Samp_47"
"1259_Destek","Plate_16_Samp_48"
"2646_S2Drd","Plate_16_Samp_49"
"677_Cudi1","Plate_16_Samp_5"
"1233_Destek","Plate_16_Samp_50"
"2051_Kayatape","Plate_16_Samp_51"
"48_Bari1","Plate_16_Samp_52"
"1353_Destek","Plate_16_Samp_53"
"865_Cudi2","Plate_16_Samp_54"
"432_Besev","Plate_16_Samp_55"
"476_Besev","Plate_16_Samp_56"
"1863_Karabace","Plate_16_Samp_57"
"549_Cermik","Plate_16_Samp_58"
"1967_Karabace","Plate_16_Samp_59"
"1335_Destek","Plate_16_Samp_6"
"766_Cudi1","Plate_16_Samp_60"
"3168_Sirnak","Plate_16_Samp_61"
"2995_Sirnak","Plate_16_Samp_62"
"1992_Karabace","Plate_16_Samp_63"
"1383_Destek","Plate_16_Samp_64"
"1506_Gunas","Plate_16_Samp_65"
